id,prefecture_id,name_kanji,name_kana
298,5,男鹿市,オガシ
299,5,湯沢市,ユザワシ
300,5,鹿角市,カヅノシ
301,5,由利本荘市,ユリホンジョウシ
302,5,潟上市,カタガミシ
303,5,大仙市,ダイセンシ
304,5,北秋田市,キタアキタシ
305,5,にかほ市,ニカホシ
306,5,仙北市,センボクシ
307,5,小坂町,コサカマチ
308,5,上小阿仁村,カミコアニムラ
309,5,藤里町,フジサトマチ
310,5,三種町,ミタネチョウ
311,5,八峰町,ハッポウチョウ
312,5,五城目町,ゴジョウメマチ
313,5,八郎潟町,ハチロウガタマチ
314,5,井川町,イカワマチ
315,5,大潟村,オオガタムラ
316,5,美郷町,ミサトチョウ
317,5,羽後町,ウゴマチ
318,5,東成瀬村,ヒガシナルセムラ
319,6,山形市,ヤマガタシ
320,6,米沢市,ヨネザワシ
321,6,鶴岡市,ツルオカシ
322,6,酒田市,サカタシ
323,6,新庄市,シンジョウシ
324,6,寒河江市,サガエシ
325,6,上山市,カミノヤマシ
326,6,村山市,ムラヤマシ
327,6,長井市,ナガイシ
328,6,天童市,テンドウシ
329,6,東根市,ヒガシネシ
330,6,尾花沢市,オバナザワシ
331,6,南陽市,ナンヨウシ
332,6,山辺町,ヤマノベマチ
333,6,中山町,ナカヤママチ
334,6,河北町,カホクチョウ
335,6,西川町,ニシカワマチ
336,6,朝日町,アサヒマチ
337,6,大江町,オオエマチ
338,6,大石田町,オオイシダマチ
339,6,金山町,カネヤママチ
340,6,最上町,モガミマチ
341,6,舟形町,フナガタマチ
342,6,真室川町,マムロガワマチ
343,6,大蔵村,オオクラムラ
344,6,鮭川村,サケガワムラ
345,6,戸沢村,トザワムラ
346,6,高畠町,タカハタマチ
347,6,川西町,カワニシマチ
348,6,小国町,オグニマチ
349,6,白鷹町,シラタカマチ
350,6,飯豊町,イイデマチ
351,6,三川町,ミカワマチ
352,6,庄内町,シヨウナイマチ
353,6,遊佐町,ユザマチ
354,7,福島市,フクシマシ
355,7,会津若松市,アイヅワカマツシ
356,7,郡山市,コオリヤマシ
357,7,いわき市,イワキシ
358,7,白河市,シラカワシ
359,7,須賀川市,スカガワシ
360,7,喜多方市,キタカタシ
361,7,相馬市,ソウマシ
362,7,二本松市,ニホンマツシ
363,7,田村市,タムラシ
364,7,南相馬市,ミナミソウマシ
365,7,伊達市,ダテシ
366,7,本宮市,モトミヤシ
367,7,桑折町,コオリマチ
368,7,国見町,クニミマチ
369,7,川俣町,カワマタマチ
370,7,大玉村,オオタマムラ
371,7,鏡石町,カガミイシマチ
372,7,天栄村,テンエイムラ
373,7,下郷町,シモゴウマチ
374,7,檜枝岐村,ヒノエマタムラ
375,7,只見町,タダミマチ
376,7,南会津町,ミナミアイヅマチ
377,7,北塩原村,キタシオバラムラ
378,7,西会津町,ニシアイヅマチ
379,7,磐梯町,バンダイマチ
380,7,猪苗代町,イナワシロマチ
381,7,会津坂下町,アイヅバンゲマチ
382,7,湯川村,ユガワムラ
383,7,柳津町,ヤナイヅマチ
384,7,三島町,ミシママチ
385,7,金山町,カネヤママチ
386,7,昭和村,ショウワムラ
387,7,会津美里町,アイヅミサトマチ
388,7,西郷村,ニシゴウムラ
389,7,泉崎村,イズミザキムラ
390,7,中島村,ナカジマムラ
391,7,矢吹町,ヤブキマチ
392,7,棚倉町,タナグラマチ
393,7,矢祭町,ヤマツリマチ
394,7,塙町,ハナワマチ
395,7,鮫川村,サメガワムラ
396,7,石川町,イシカワマチ
397,7,玉川村,タマカワムラ
398,7,平田村,ヒラタムラ
399,7,浅川町,アサカワマチ
